"Manufacturer";"Varient";"Details";"India_Locations";"Model";"Distance_Travelled";"Fuel_Type";"Engine_Capacity";"Transmission";"Price_INR"
"Suzuki";"Mehran";"VX (CNG) ";"Jaipur";"2001";"220000";"CNG";"800";"Manual";"600000"
"Suzuki";"Mehran";"VXR (CNG) ";"Jaipur";"2011";"8592";"Petrol";"800";"Manual";"750000"
"Suzuki";"Every";"Join ";"Jaipur";"2014";"165899";"Petrol";"660";"Automatic";"1560000"
"Peugeot";"";"2023 Active ";"Jaipur";"2023";"3000";"Petrol";"1200";"Automatic";"7750000"
"Peugeot";"";"2023 Active ";"Jaipur";"2023";"3000";"Petrol";"1200";"Automatic";"7750000"
"FAW";"X-PV";"Dual AC ";"Jaipur";"2017";"69000";"Petrol";"1000";"Manual";"1150000"
"Toyota";"Vitz";"FL 1.0 ";"Jaipur";"2003";"200000";"Petrol";"1000";"Automatic";"1580000"
"Suzuki";"Cultus";"VXL ";"Jaipur";"2021";"22000";"Petrol";"1000";"Manual";"3550000"
"Toyota";"Passo";"X ";"Jaipur";"2016";"146000";"Petrol";"1000";"Automatic";"2550000"
"Toyota";"Vitz";"U 1.3 ";"Jaipur";"2006";"110000";"Petrol";"1300";"Automatic";"2230000"
"Suzuki";"Mehran";"VX (CNG) ";"Jaipur";"2010";"100000";"Petrol";"800";"Manual";"825000"
"Suzuki";"Bolan";"VX (CNG) ";"Jaipur";"1991";"3350";"Petrol";"800";"Manual";"750000"
"Honda";"Civic Reborn";"VTi 1.8 i-VTEC ";"Jaipur";"2010";"190000";"Petrol";"1800";"Manual";"2150000"
"Honda";"Civic";"VTi 1.6 ";"Jaipur";"2004";"132000";"Petrol";"1600";"Manual";"1220000"
"Suzuki";"Cultus";"EURO II ";"Jaipur";"2013";"42000";"Petrol";"1000";"Manual";"1570000"
"Suzuki";"Mehran";"VXR (CNG) ";"Jaipur";"2008";"16700";"Petrol";"800";"Manual";"950000"
"Suzuki";"Mehran";"VXR Euro II ";"Jaipur";"2019";"24000";"Petrol";"800";"Manual";"1535000"
"Honda";"City";"1.3 i-VTEC ";"Jaipur";"2010";"149000";"Petrol";"1300";"Manual";"2500000"
"Honda";"City";"1.3 i-VTEC ";"Jaipur";"2010";"149000";"Petrol";"1300";"Manual";"2500000"
"Honda";"Civic Eagle Eye";"VTi Oriel Prosmatec 1.6 ";"Jaipur";"2005";"200000";"Petrol";"1600";"Automatic";"1400000"
"Changan";"Karvaan";"Plus ";"Jaipur";"2021";"30000";"Petrol";"999";"Manual";"2950000"
"Changan";"Karvaan";"Plus ";"Jaipur";"2021";"30000";"Petrol";"999";"Manual";"2950000"
"Suzuki";"Swift";"DLX 1.3 ";"Jaipur";"2015";"100000";"Petrol";"1300";"Manual";"2250000"
"Honda";"Civic EK";"VTi Automatic 1.6 ";"Jaipur";"1996";"4526";"Petrol";"1600";"Automatic";"825000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2019";"75000";"Petrol";"1600";"Automatic";"4850000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2019";"75000";"Petrol";"1600";"Automatic";"4850000"
"Suzuki";"Cultus";"VXR ";"Jaipur";"2005";"86000";"Petrol";"1000";"Manual";"865000"
"Suzuki";"Cultus";"VXR (CNG) ";"Jaipur";"2006";"123456";"Petrol";"1000";"Manual";"940000"
"Toyota";"Rush";"G Limited ";"Jaipur";"2013";"80000";"Petrol";"1500";"Automatic";"3950000"
"Toyota";"Hilux";"Double Cab ";"Jaipur";"1996";"123";"Diesel";"2400";"Manual";"1750000"
"Honda";"Civic Eagle Eye";"VTi Oriel UG Prosmatec 1.6 ";"Jaipur";"2004";"186";"Petrol";"1600";"Automatic";"1470000"
"Honda";"Civic";"VTi Oriel 1.8 i-VTEC ";"Jaipur";"2011";"190000";"Petrol";"1800";"Manual";"2400000"
"Honda";"Civic";"VTi Oriel 1.8 i-VTEC ";"Jaipur";"2011";"190000";"Petrol";"1800";"Manual";"2400000"
"Toyota";"Corona";"EX Saloon ";"Jaipur";"1994";"195000";"Petrol";"1600";"Automatic";"1000000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2015";"54000";"Petrol";"1600";"Automatic";"4300000"
"Toyota";"Corolla";"Altis Automatic 1.6 ";"Jaipur";"2015";"54000";"Petrol";"1600";"Automatic";"4300000"
"Toyota";"Hilux";"Double Cab ";"Jaipur";"2003";"100000";"Diesel";"3000";"Manual";"3500000"
"Toyota";"Hilux";"Double Cab ";"Jaipur";"1995";"200000";"Diesel";"2400";"Manual";"2600000"
"Suzuki";"Alto";"VXR (CNG) ";"Jaipur";"2010";"100000";"Petrol";"1000";"Manual";"1250000"
"Toyota";"Vitz";"F 1.0 ";"Jaipur";"2006";"140000";"Petrol";"1000";"Automatic";"1830000"
"Honda";"Civic Eagle Eye";"VTi Oriel Prosmatec 1.6 ";"Jaipur";"2006";"25000";"CNG";"1600";"Automatic";"1450000"
"Toyota";"Corolla";"GLi 1.3 VVTi ";"Jaipur";"2016";"80000";"Petrol";"1300";"Manual";"3850000"
"Toyota";"Corolla";"XLi VVTi ";"Jaipur";"2013";"140000";"Petrol";"1300";"Manual";"2700000"
"Toyota";"Corolla";"GLi Automatic 1.3 VVTi ";"Jaipur";"2017";"80000";"Petrol";"1300";"Automatic";"4470000"
"Honda";"Civic";"Oriel 1.8 i-VTEC CVT ";"Jaipur";"2021";"20000";"Petrol";"1800";"Automatic";"6800000"
"Toyota";"Corolla";"Altis Grande X CVT-i 1.8 Beige Interior ";"Jaipur";"2021";"62000";"Petrol";"1799";"Automatic";"6700000"
"Toyota";"Corolla";"GLi Automatic 1.3 VVTi ";"Jaipur";"2019";"144360";"Petrol";"1300";"Automatic";"4550000"
"Suzuki";"Cultus";"VXR ";"Jaipur";"2005";"10000";"CNG";"1000";"Manual";"690000"
"Honda";"City";"1.3 i-VTEC Prosmatec ";"Jaipur";"2018";"33700";"Petrol";"1300";"Automatic";"4075000"
"Honda";"City";"1.3 i-VTEC Prosmatec ";"Jaipur";"2018";"33700";"Petrol";"1300";"Automatic";"4075000"
"Toyota";"Corolla";"XLi VVTi ";"Jaipur";"2014";"99000";"Petrol";"1300";"Manual";"3550000"
"Toyota";"Corolla";"SE Saloon ";"Jaipur";"1986";"186000";"Petrol";"1600";"Manual";"1050000"
"Suzuki";"Cultus";"Limited Edition ";"Jaipur";"2010";"80000";"Petrol";"1000";"Manual";"1300000"
"Toyota";"Corolla";"GLi Automatic 1.3 VVTi ";"Jaipur";"2017";"110000";"Petrol";"1300";"Automatic";"3650000"
"Toyota";"Corolla";"GLi Limited Edition 1.3 VVTi ";"Jaipur";"2013";"86000";"Petrol";"1300";"Manual";"2975000"
"Mitsubishi";"Lancer";"GLX 1.5 ";"Jaipur";"1993";"100000";"CNG";"1500";"Manual";"776000"
"Suzuki";"Cultus";"VXRi ";"Jaipur";"2010";"106000";"Petrol";"1000";"Manual";"1330000"
"Suzuki";"Alto";"works edition ";"Jaipur";"2015";"99000";"Petrol";"658";"Automatic";"2480000"
"Toyota";"Corolla";"GLi 1.3 ";"Jaipur";"2006";"123456";"Petrol";"1300";"Manual";"1630000"
"Suzuki";"Mehran";"VXR ";"Jaipur";"2004";"80000";"Petrol";"800";"Manual";"590000"
"Changan";"Alsvin";"1.5L DCT Lumiere ";"Jaipur";"2021";"27000";"Petrol";"1500";"Automatic";"4300000"
"Suzuki";"Alto";"VXR (CNG) ";"Jaipur";"2009";"118200";"Petrol";"1000";"Manual";"1000000"
"Daihatsu";"Cuore";"CX Automatic ";"Jaipur";"2005";"145000";"Petrol";"800";"Automatic";"1050000"
"Honda";"N Wgn";"Custom G Turbo ";"Jaipur";"2013";"122222";"Petrol";"660";"Automatic";"2556000"
"Toyota";"Prado";"RZ 3.0D (3-Door) ";"Jaipur";"1999";"100000";"Diesel";"3000";"Automatic";"3975000"
"Suzuki";"Mehran";"VX ";"Jaipur";"2007";"100000";"Petrol";"800";"Manual";"550000"
"Toyota";"Fortuner";"2.7 VVTi ";"Jaipur";"2017";"32000";"Petrol";"2700";"Automatic";"13000000"
"Suzuki";"FX";"GA ";"Jaipur";"1987";"100000";"Petrol";"800";"Manual";"230000"
"Honda";"Civic";"Turbo 1.5 VTEC CVT ";"Jaipur";"2017";"52000";"Petrol";"1500";"Automatic";"5200000"
"Toyota";"Corolla";"Altis X Automatic 1.6 Special Edition ";"Jaipur";"2022";"15000";"Petrol";"1598";"Automatic";"6700000"
"Suzuki";"Alto";"ECO-S ";"Jaipur";"2012";"200000";"Petrol";"660";"Automatic";"1950000"
"Toyota";"Corolla";"GLi Automatic 1.3 VVTi ";"Jaipur";"2017";"57000";"Petrol";"1300";"Automatic";"4250000"
"Toyota";"Corolla";"Altis Grande CVT-i 1.8 ";"Jaipur";"2020";"66257";"Petrol";"1800";"Automatic";"6400000"
"Toyota";"Corolla";"XLi VVTi ";"Jaipur";"2011";"150000";"Petrol";"1300";"Manual";"2450000"
"Toyota";"Corolla Axio";"G ";"Jaipur";"2008";"100000";"Petrol";"1500";"Automatic";"3150000"
"Suzuki";"Mehran";"VX (CNG) ";"Jaipur";"2006";"92470";"Petrol";"800";"Manual";"550000"
"Toyota";"Land Cruiser";"Amazon 4.2D ";"Jaipur";"2003";"125000";"Diesel";"4200";"Automatic";"8300000"
"Toyota";"Passo";"Plus Hana C ";"Jaipur";"2014";"74200";"Petrol";"1000";"Automatic";"3000000"
"Toyota";"Corolla";"Altis 1.6 X CVT-i Special Edition ";"Jaipur";"2023";"7000";"Petrol";"1600";"Automatic";"7700000"
"Toyota";"Corolla";"SE Limited ";"Jaipur";"1989";"200000";"Petrol";"1500";"Manual";"1300000"
"Toyota";"Corolla";"GLi 1.3 VVTi ";"Jaipur";"2011";"138000";"Petrol";"1300";"Manual";"2720000"
"Suzuki";"Cultus";"VXR ";"Jaipur";"2017";"83000";"Petrol";"1000";"Manual";"2750000"
"Suzuki";"Bolan";"VX Euro II ";"Jaipur";"2014";"59000";"Petrol";"800";"Manual";"1150000"
"Suzuki";"Mehran";"VX Euro II ";"Jaipur";"2012";"65000";"Petrol";"800";"Manual";"1130000"
"Peugeot";"";"2023 Active ";"Jaipur";"2023";"3000";"Petrol";"1200";"Automatic";"7750000"
"Peugeot";"";"2023 Active ";"Jaipur";"2023";"3000";"Petrol";"1200";"Automatic";"7750000"
"Suzuki";"Mehran";"VXR (CNG) ";"Jaipur";"2005";"100000";"CNG";"800";"Manual";"630000"
"Suzuki";"Mehran";"VXR (CNG) ";"Jaipur";"2004";"690000";"CNG";"800";"Manual";"540000"
